a,timestamp,watthour
,2017-08-17 03:45:00,8163.63
,2017-08-17 04:00:00,7809.28
,2017-08-17 04:15:00,7945.75
,2017-08-17 04:30:00,7963.46
,2017-08-17 04:45:00,7745.99
,2017-08-17 05:00:00,7642.53
,2017-08-17 05:15:00,7138.4
,2017-08-17 05:30:00,6853.64
,2017-08-17 05:45:00,6760.25
,2017-08-17 06:00:00,7395.42
,2017-08-17 06:15:00,7465.27
,2017-08-17 06:30:00,7278.11
,2017-08-17 06:45:00,6394.9
,2017-08-17 07:00:00,7690.73
,2017-08-17 07:15:00,7745.35
,2017-08-17 07:30:00,8375.6
,2017-08-17 07:45:00,9489.6
,2017-08-17 08:00:00,10798.48
,2017-08-17 08:15:00,10456.13
,2017-08-17 08:30:00,11400.38
,2017-08-17 08:45:00,10726.9
,2017-08-17 09:00:00,11142.99
,2017-08-17 09:15:00,11732.07
,2017-08-17 09:30:00,11168.48
,2017-08-17 09:45:00,11444.65
,2017-08-17 10:00:00,10982.03
,2017-08-17 10:15:00,11406.04
,2017-08-17 10:30:00,11256.31
,2017-08-17 10:45:00,11242.24
,2017-08-17 11:00:00,10611.79
,2017-08-17 11:15:00,9795.72
,2017-08-17 11:30:00,10235.72
,2017-08-17 11:45:00,9820.22
,2017-08-17 12:00:00,10320.56
,2017-08-17 12:15:00,10469.26
,2017-08-17 12:30:00,11125.76
,2017-08-17 12:45:00,10811.88
,2017-08-17 13:00:00,10920.31
,2017-08-17 13:15:00,11114.45
,2017-08-17 13:30:00,11480.56
,2017-08-17 13:45:00,11036.76
,2017-08-17 14:00:00,11204.6
,2017-08-17 14:15:00,10765.92
,2017-08-17 14:30:00,11615.8
,2017-08-17 14:45:00,10547.27
,2017-08-17 15:00:00,10763.31
,2017-08-17 15:15:00,10654.54
,2017-08-17 15:30:00,10546.93
,2017-08-17 15:45:00,10734.96
,2017-08-17 16:00:00,11064.31
,2017-08-17 16:15:00,11176.6
,2017-08-17 16:30:00,11005.56
,2017-08-17 16:45:00,11036.08
